Player,Season,Team,S/C,Pos,GP,G,A,P,+/-,PIM,P/GP,EVG,EVP,PPG,PPP,SHG,SHP,OTG,GWG,S,S%,TOI/GP,FOW%
Chris Kreider,20242025,NYR,L,L,68,22,8,30,-5,24,0.44,12,19,6,7,4,4,0,6,152,14.5,16:45,39.7
Mikael Granlund,20242025,"SJS,DAL",L,C,83,22,44,66,0,28,0.8,16,46,5,19,1,1,1,4,169,13,19:27,49.6
J.T. Miller,20242025,"VAN,NYR",L,C,72,22,48,70,-6,55,0.97,17,44,5,22,0,4,1,2,137,16.1,18:12,58.3
Stefan Noesen,20242025,NJD,R,R,78,22,19,41,-8,54,0.53,11,26,11,15,0,0,1,5,165,13.3,15:56,48.2
Nick Paul,20242025,TBL,L,L,76,22,19,41,13,30,0.54,20,35,2,5,0,1,1,3,141,15.6,16:27,50
Jared McCann,20242025,SEA,L,L,82,22,39,61,8,18,0.74,18,44,4,16,0,1,1,3,202,10.9,17:13,44.7
Jack Roslovic,20242025,CAR,R,C,81,22,17,39,-10,10,0.48,21,37,1,2,0,0,0,2,139,15.8,13:49,54.1
Mason Marchment,20242025,DAL,L,L,62,22,25,47,15,53,0.76,17,37,5,10,0,0,0,4,134,16.4,15:20,48
Matthew Tkachuk,20242025,FLA,L,L,52,22,35,57,-3,54,1.1,11,34,11,23,0,0,0,2,156,14.1,18:14,20
Jake Neighbours,20242025,STL,L,L,82,22,24,46,0,56,0.56,16,34,6,12,0,0,1,3,122,18,15:54,27.8
Mason McTavish,20242025,ANA,L,C,76,22,30,52,0,38,0.68,16,40,6,12,0,0,1,2,180,12.2,16:53,50.7
Anze Kopitar,20242025,LAK,L,C,81,21,46,67,14,4,0.83,17,44,4,22,0,1,0,7,98,21.4,18:57,57.2
Patrick Kane,20242025,DET,L,R,72,21,38,59,-16,12,0.82,9,30,12,29,0,0,2,6,175,12,17:59,38.5
Ryan O'Reilly,20242025,NSH,L,C,79,21,32,53,-23,24,0.67,12,36,9,17,0,0,0,3,151,13.9,18:59,55.7
Jason Zucker,20242025,BUF,L,L,73,21,32,53,4,57,0.73,10,32,11,21,0,0,0,4,143,14.7,16:00,39.6
Brendan Gallagher,20242025,MTL,R,R,82,21,17,38,-6,39,0.46,16,31,5,7,0,0,0,1,148,14.2,13:55,0
Jonathan Marchessault,20242025,NSH,R,R,78,21,35,56,-29,37,0.72,17,33,4,23,0,0,1,4,206,10.2,17:59,25.4
Oliver Bjorkstrand,20242025,"SEA,TBL",R,R,79,21,25,46,2,18,0.58,16,34,5,12,0,0,0,2,154,13.6,15:09,30
Frank Vatrano,20242025,ANA,L,R,81,21,24,45,-9,80,0.56,17,39,3,5,1,1,0,1,234,9,17:33,47.1
Troy Terry,20242025,ANA,R,R,77,21,34,55,0,20,0.71,17,44,4,11,0,0,1,4,188,11.2,18:51,37.5
